id,neighborhood,room_type,minimum_nights,number_of_reviews,availability_365,latitude,longitude,price
100136,Bronx,Shared room,30,174,203,40.573275,-74.002062,385
100137,Manhattan,Shared room,28,67,332,40.831587,-73.980721,391
100138,Bronx,Shared room,19,112,48,40.803109,-73.943933,283
100139,Bronx,Entire home/apt,9,192,70,40.871775,-73.864269,137
100140,Brooklyn,Entire home/apt,16,48,304,40.699355,-73.802446,83
100141,Manhattan,Shared room,1,161,285,40.770232,-73.800412,297
100142,Queens,Shared room,7,113,222,40.715314,-74.030175,322
100143,Bronx,Shared room,24,134,348,40.618326,-73.95876,165
100144,Manhattan,Shared room,11,148,332,40.609884,-73.707721,341
100145,Queens,Entire home/apt,10,96,80,40.541591,-74.038133,163
100146,Queens,Entire home/apt,26,119,108,40.746284,-74.010465,48
100147,Bronx,Shared room,19,137,106,40.719282,-74.181939,369
100148,Manhattan,Shared room,28,60,342,40.695985,-74.208414,386
100149,Brooklyn,Private room,21,192,0,40.623024,-73.770974,137
100150,Brooklyn,Private room,23,80,181,40.727149,-73.975278,104
100151,Brooklyn,Private room,22,13,138,40.821058,-73.79942,241
100152,Staten Island,Private room,4,50,62,40.58232,-73.806077,353
100153,Queens,Shared room,2,177,359,40.896277,-73.848351,301
100154,Staten Island,Private room,19,3,255,40.625058,-74.193694,302
100155,Brooklyn,Entire home/apt,6,107,295,40.637803,-74.039326,373
100156,Brooklyn,Private room,25,52,112,40.673212,-74.114818,367
100157,Manhattan,Private room,29,88,281,40.777488,-74.204918,319
100158,Brooklyn,Entire home/apt,15,87,145,40.510286,-73.890143,169
100159,Manhattan,Private room,28,70,156,40.74367,-73.91198,203
100160,Bronx,Shared room,19,94,122,40.627805,-73.8262,196
100161,Bronx,Entire home/apt,3,78,175,40.754351,-74.150681,328
100162,Manhattan,Private room,17,137,2,40.731514,-73.738232,205
100163,Bronx,Shared room,7,17,229,40.892603,-73.994813,140
100164,Staten Island,Private room,30,127,240,40.615254,-74.091051,160
100165,Queens,Private room,13,166,130,40.624766,-73.821083,54
100166,Brooklyn,Entire home/apt,15,19,196,40.74654,-74.036305,107
100167,Bronx,Shared room,23,109,32,40.706912,-73.740553,158
100168,Manhattan,Shared room,24,162,302,40.705098,-73.890228,306
100169,Queens,Entire home/apt,19,23,201,40.781221,-73.788234,189
100170,Manhattan,Shared room,15,109,76,40.607697,-74.228426,317
100171,Manhattan,Shared room,13,144,21,40.804316,-73.971139,168
100172,Bronx,Private room,22,57,193,40.780004,-74.201171,50
100173,Bronx,Shared room,1,6,25,40.750731,-74.113999,323
100174,Queens,Entire home/apt,20,70,332,40.728498,-74.108885,213
100175,Manhattan,Private room,11,89,132,40.581357,-74.038882,164
100176,Staten Island,Private room,4,157,44,40.882337,-74.183178,266
100177,Manhattan,Shared room,13,151,63,40.569255,-73.711176,83
100178,Brooklyn,Shared room,30,116,170,40.519598,-73.819371,45
100179,Bronx,Private room,10,172,19,40.883443,-73.839862,243
100180,Queens,Private room,26,92,351,40.601273,-74.247515,399
100181,Brooklyn,Entire home/apt,23,49,160,40.708091,-74.107568,120
100182,Bronx,Private room,16,14,177,40.784144,-73.756558,380
100183,Queens,Entire home/apt,14,63,31,40.770974,-73.716882,316
100184,Staten Island,Shared room,23,25,316,40.791255,-73.903708,289
100185,Queens,Private room,17,199,258,40.761241,-73.930512,208
100186,Manhattan,Private room,18,42,74,40.835538,-73.741143,86
100187,Manhattan,Private room,25,188,203,40.891521,-74.107642,392
100188,Staten Island,Shared room,25,19,308,40.6653,-73.911743,73
100189,Queens,Private room,27,51,353,40.718954,-74.118841,345
100190,Queens,Shared room,28,181,328,40.709679,-73.798971,173
100191,Queens,Private room,4,94,34,40.762999,-74.013144,79
100192,Staten Island,Entire home/apt,16,8,168,40.768059,-74.188526,123
100193,Bronx,Private room,26,57,141,40.808988,-73.721654,278
100194,Queens,Private room,29,27,33,40.71097,-73.900136,81
100195,Brooklyn,Entire home/apt,15,33,284,40.866718,-74.180356,305
100196,Brooklyn,Shared room,23,59,278,40.707787,-73.725547,272
100197,Staten Island,Shared room,10,2,263,40.889519,-73.714462,160
100198,Queens,Private room,19,161,207,40.642632,-73.876542,63
100199,Queens,Shared room,27,142,298,40.505496,-73.936922,174
100200,Manhattan,Private room,29,100,32,40.734846,-73.700974,372
100201,Brooklyn,Private room,12,163,329,40.730103,-73.75758,199
100202,Queens,Shared room,1,59,7,40.811261,-74.15774,366
100203,Manhattan,Private room,16,79,153,40.74308,-74.229155,291
100204,Staten Island,Entire home/apt,21,86,76,40.765169,-73.980053,270
100205,Manhattan,Shared room,12,8,55,40.502526,-73.905562,131
100206,Staten Island,Private room,4,155,294,40.698058,-74.107103,168
100207,Manhattan,Shared room,11,110,18,40.589308,-73.813519,108
100208,Staten Island,Shared room,1,92,260,40.783158,-73.919491,100
100209,Bronx,Shared room,17,14,357,40.691933,-73.892799,380
100210,Brooklyn,Private room,17,83,100,40.555407,-74.174622,69
100211,Bronx,Private room,12,184,337,40.663033,-74.1434,304
100212,Bronx,Entire home/apt,16,99,290,40.844158,-73.921656,92
100213,Bronx,Shared room,8,92,253,40.890942,-74.186411,315
100214,Bronx,Shared room,14,144,196,40.7763,-74.116698,361
100215,Bronx,Entire home/apt,19,33,260,40.833185,-73.781786,76
100216,Queens,Shared room,1,54,91,40.859649,-73.955701,69
100217,Brooklyn,Shared room,30,90,250,40.832756,-73.927276,366
100218,Brooklyn,Private room,1,144,124,40.730579,-73.967039,105
100219,Brooklyn,Entire home/apt,13,188,315,40.838714,-73.804981,293
100220,Bronx,Entire home/apt,15,128,151,40.550108,-73.851911,242
100221,Bronx,Shared room,29,161,212,40.570413,-73.996161,223
100222,Brooklyn,Entire home/apt,22,138,306,40.702188,-74.154123,346
100223,Queens,Shared room,19,32,29,40.811206,-73.771616,223
100224,Bronx,Entire home/apt,6,109,104,40.58993,-73.994387,143
100225,Manhattan,Entire home/apt,13,177,48,40.542866,-73.968897,309
100226,Staten Island,Private room,13,9,150,40.571152,-73.929398,338
100227,Queens,Entire home/apt,11,163,160,40.888089,-73.959375,210
100228,Manhattan,Entire home/apt,4,47,94,40.899194,-73.956183,243
100229,Staten Island,Shared room,11,187,27,40.625863,-74.011411,345
100230,Queens,Shared room,19,57,216,40.685982,-73.89373,340
100231,Manhattan,Shared room,10,39,122,40.783598,-73.936419,277
100232,Staten Island,Private room,16,196,200,40.605216,-73.746609,336
100233,Staten Island,Private room,2,151,108,40.533765,-74.050482,151
100234,Queens,Entire home/apt,7,1,337,40.887769,-73.764339,397
100235,Brooklyn,Entire home/apt,27,84,251,40.898345,-73.887793,141
100236,Manhattan,Entire home/apt,9,11,187,40.527489,-73.879601,114
100237,Staten Island,Private room,8,198,99,40.524742,-73.945249,77
100238,Brooklyn,Shared room,4,21,216,40.50087,-73.846652,166
100239,Bronx,Shared room,20,0,197,40.861139,-73.818161,167
100240,Staten Island,Shared room,15,54,226,40.652027,-73.92136,244
100241,Staten Island,Private room,10,62,226,40.718833,-73.970894,123
100242,Manhattan,Private room,8,60,95,40.787853,-74.01676,254
100243,Bronx,Private room,4,102,210,40.843574,-73.816466,128
100244,Bronx,Shared room,13,199,177,40.770412,-73.914276,179
100245,Queens,Entire home/apt,21,136,284,40.644375,-74.23893,281
100246,Manhattan,Private room,11,171,215,40.801077,-74.050282,174
100247,Manhattan,Private room,18,130,268,40.719769,-74.026625,291
100248,Queens,Entire home/apt,1,125,131,40.512535,-73.758114,204
100249,Staten Island,Shared room,2,193,236,40.784534,-74.081518,44
100250,Brooklyn,Entire home/apt,9,176,118,40.738071,-73.711487,164
100251,Bronx,Shared room,25,60,229,40.774309,-74.102671,191
100252,Manhattan,Private room,18,192,163,40.584324,-74.034196,47
100253,Bronx,Entire home/apt,16,149,341,40.698402,-74.148728,368
100254,Staten Island,Entire home/apt,18,101,137,40.684286,-73.916201,272
100255,Bronx,Entire home/apt,12,63,226,40.870986,-73.852695,45
100256,Brooklyn,Shared room,25,113,82,40.552443,-73.922513,287
100257,Bronx,Shared room,7,74,33,40.649907,-74.17063,158
100258,Staten Island,Shared room,6,37,31,40.669693,-73.758859,55
100259,Brooklyn,Private room,4,79,304,40.677992,-73.731018,188
100260,Bronx,Entire home/apt,1,159,363,40.628501,-74.042309,322
100261,Bronx,Shared room,3,186,306,40.630169,-74.059241,68
100262,Staten Island,Entire home/apt,24,32,343,40.670684,-74.052182,310
100263,Brooklyn,Shared room,11,178,250,40.774809,-73.816011,157
100264,Manhattan,Shared room,2,114,238,40.817713,-74.152542,102
100265,Brooklyn,Entire home/apt,1,114,333,40.688166,-73.753967,246
100266,Manhattan,Shared room,27,31,195,40.85547,-73.877355,358
100267,Manhattan,Entire home/apt,12,151,342,40.520526,-73.973976,338
100268,Brooklyn,Private room,11,10,185,40.687149,-73.85054,373
100269,Bronx,Private room,28,86,135,40.663189,-74.198263,175
100270,Staten Island,Shared room,22,32,337,40.87951,-73.908567,261
100271,Staten Island,Entire home/apt,15,115,247,40.796105,-73.717241,379
100272,Brooklyn,Entire home/apt,27,95,230,40.873206,-74.244575,204
100273,Queens,Private room,1,131,50,40.856541,-73.705713,253
100274,Staten Island,Shared room,22,115,28,40.875335,-73.858288,238
100275,Brooklyn,Entire home/apt,30,144,144,40.661575,-74.049881,66
100276,Brooklyn,Private room,16,75,309,40.65284,-73.858983,346
100277,Bronx,Private room,13,147,335,40.545336,-74.145613,324
100278,Bronx,Private room,14,79,209,40.881401,-73.991291,264
100279,Manhattan,Private room,25,40,169,40.522901,-73.843017,315
100280,Queens,Private room,2,175,333,40.661301,-73.917105,282
100281,Brooklyn,Entire home/apt,4,91,173,40.88665,-74.174955,99
100282,Bronx,Shared room,1,82,80,40.73304,-74.013321,261
100283,Brooklyn,Shared room,16,15,359,40.833731,-73.720849,160
100284,Staten Island,Shared room,9,17,122,40.655576,-73.927232,174
100285,Brooklyn,Private room,9,147,61,40.868221,-73.724278,239
100286,Manhattan,Shared room,20,174,2,40.584986,-74.027242,397
100287,Bronx,Shared room,28,17,235,40.553324,-73.720348,74
100288,Manhattan,Entire home/apt,19,95,22,40.854642,-73.913375,172
100289,Staten Island,Entire home/apt,30,136,28,40.828149,-73.739781,389
100290,Brooklyn,Private room,16,59,245,40.704196,-73.925237,234
100291,Bronx,Entire home/apt,14,142,8,40.571613,-74.024849,120
100292,Staten Island,Entire home/apt,2,15,18,40.791163,-74.188236,302
100293,Brooklyn,Entire home/apt,30,0,358,40.88856,-74.226686,358
100294,Brooklyn,Shared room,15,195,35,40.757957,-74.105354,197
100295,Staten Island,Shared room,12,145,108,40.746858,-74.093493,113
100296,Brooklyn,Private room,25,73,116,40.542052,-73.919588,277
100297,Brooklyn,Entire home/apt,25,31,323,40.550186,-73.867157,45
100298,Manhattan,Private room,29,71,131,40.571678,-73.98869,124
100299,Manhattan,Shared room,28,88,278,40.55954,-74.227858,118
100300,Queens,Private room,29,149,34,40.529754,-73.833922,293
100301,Manhattan,Shared room,4,132,63,40.660782,-73.996207,310
100302,Staten Island,Entire home/apt,1,27,231,40.623356,-73.789767,95
100303,Staten Island,Shared room,25,97,7,40.614592,-73.868827,138
100304,Manhattan,Private room,14,143,333,40.826833,-73.92537,312
100305,Brooklyn,Shared room,28,118,298,40.619597,-73.707616,113
100306,Brooklyn,Entire home/apt,27,52,103,40.569207,-74.020186,144
100307,Queens,Entire home/apt,30,7,81,40.633046,-74.053348,349
100308,Queens,Entire home/apt,14,28,81,40.84784,-74.024422,332
100309,Manhattan,Private room,20,16,200,40.759522,-73.866957,181
100310,Brooklyn,Entire home/apt,8,137,79,40.748016,-73.719282,41
100311,Manhattan,Shared room,4,135,100,40.729442,-74.23557,367
100312,Staten Island,Entire home/apt,21,167,254,40.884554,-73.792642,150
100313,Manhattan,Entire home/apt,25,6,358,40.65807,-73.712968,301
100314,Bronx,Private room,23,154,130,40.653358,-73.868581,124
100315,Manhattan,Private room,22,37,288,40.851866,-74.093233,287
100316,Staten Island,Shared room,21,131,236,40.896927,-73.731022,361
100317,Bronx,Shared room,17,33,42,40.640679,-73.918266,46
100318,Queens,Shared room,18,111,2,40.885727,-74.11021,203
100319,Queens,Entire home/apt,19,11,307,40.820408,-74.208996,212
100320,Brooklyn,Entire home/apt,16,88,119,40.825719,-74.150605,89
100321,Bronx,Private room,18,112,350,40.525582,-74.030023,119
100322,Queens,Entire home/apt,22,12,98,40.658756,-74.222483,110
100323,Staten Island,Shared room,27,82,140,40.865003,-74.230093,375
100324,Queens,Entire home/apt,18,80,136,40.749369,-74.069605,147
100325,Bronx,Shared room,29,196,244,40.726766,-74.024553,114
100326,Staten Island,Private room,7,26,170,40.730493,-73.846609,309
100327,Queens,Private room,3,129,248,40.788544,-73.761262,312
100328,Manhattan,Entire home/apt,13,108,301,40.511813,-73.913112,75
100329,Queens,Shared room,8,184,229,40.550904,-73.909257,60
100330,Staten Island,Shared room,26,23,89,40.636643,-73.999828,326
100331,Bronx,Private room,5,168,153,40.649074,-74.045577,257
100332,Staten Island,Entire home/apt,18,114,145,40.582643,-73.763248,313
100333,Brooklyn,Shared room,18,79,231,40.822723,-74.062657,168
100334,Brooklyn,Entire home/apt,16,77,324,40.695479,-73.871614,338
100335,Staten Island,Entire home/apt,17,199,110,40.624268,-74.129201,252
100336,Queens,Private room,25,53,291,40.70611,-73.870701,134
100337,Manhattan,Entire home/apt,10,130,67,40.684846,-73.838051,158
100338,Brooklyn,Shared room,14,44,340,40.776009,-73.894509,144
100339,Brooklyn,Private room,17,196,296,40.682247,-74.047264,265
100340,Manhattan,Shared room,25,186,266,40.639785,-74.052039,349
100341,Staten Island,Private room,12,134,122,40.796866,-73.811541,374
100342,Manhattan,Private room,19,175,142,40.762063,-73.965336,181
100343,Manhattan,Private room,19,200,212,40.64568,-73.907651,267
100344,Brooklyn,Shared room,26,90,37,40.861988,-73.746736,186
100345,Queens,Private room,8,87,154,40.547196,-73.913236,125
100346,Bronx,Private room,8,50,123,40.721115,-74.117142,71
100347,Queens,Entire home/apt,20,141,362,40.846699,-73.886296,42
100348,Queens,Shared room,16,174,199,40.547063,-73.952924,145
100349,Brooklyn,Shared room,17,82,338,40.560938,-73.853656,214
100350,Staten Island,Shared room,13,160,129,40.614404,-73.777315,62
100351,Manhattan,Entire home/apt,5,9,344,40.646733,-73.844834,134
100352,Bronx,Private room,18,87,50,40.666057,-74.024626,131
100353,Queens,Shared room,17,140,351,40.876008,-74.119023,145
100354,Brooklyn,Private room,19,33,52,40.55317,-74.249352,207
100355,Staten Island,Shared room,29,192,209,40.749496,-73.882526,308
100356,Manhattan,Entire home/apt,9,21,47,40.745865,-73.843509,276
100357,Queens,Private room,24,43,92,40.760084,-73.799096,337
100358,Queens,Shared room,20,100,334,40.737042,-73.979608,272
100359,Queens,Shared room,4,128,160,40.768351,-73.838154,77
100360,Bronx,Entire home/apt,8,20,79,40.854651,-74.01441,196
100361,Staten Island,Private room,19,181,13,40.647274,-73.881098,179
100362,Staten Island,Private room,9,185,285,40.727411,-73.754731,189
100363,Bronx,Entire home/apt,15,86,117,40.595499,-73.994576,216
100364,Staten Island,Shared room,1,178,26,40.619679,-73.842752,101
100365,Staten Island,Shared room,22,112,354,40.543208,-73.831613,174
100366,Staten Island,Entire home/apt,18,146,358,40.713976,-73.775781,238
100367,Queens,Private room,9,57,46,40.859508,-74.216308,47
100368,Queens,Shared room,17,53,306,40.693083,-74.247661,42
100369,Bronx,Entire home/apt,24,14,38,40.576461,-73.91827,304
100370,Manhattan,Entire home/apt,15,6,275,40.507748,-73.875786,302
100371,Brooklyn,Entire home/apt,28,89,81,40.770618,-74.172278,191
100372,Brooklyn,Entire home/apt,9,143,355,40.873108,-73.728131,204
100373,Bronx,Shared room,13,133,329,40.598197,-73.737596,299
100374,Staten Island,Private room,12,22,148,40.861905,-73.969874,113
100375,Manhattan,Entire home/apt,15,80,25,40.850344,-73.973313,200
100376,Bronx,Entire home/apt,24,124,160,40.845434,-73.787225,277
100377,Staten Island,Shared room,29,187,315,40.680573,-74.153993,54
100378,Brooklyn,Private room,23,122,175,40.526594,-74.018846,361
100379,Queens,Shared room,7,100,240,40.843838,-74.132112,203
100380,Manhattan,Private room,28,130,266,40.694211,-74.09913,234
100381,Manhattan,Entire home/apt,2,74,160,40.631453,-73.941582,289
100382,Staten Island,Shared room,1,23,232,40.788065,-73.965106,130
100383,Queens,Private room,14,153,101,40.635728,-74.204649,265
100384,Bronx,Shared room,7,21,63,40.752499,-73.709122,118
100385,Manhattan,Shared room,29,91,167,40.821473,-73.74505,303
100386,Queens,Entire home/apt,5,130,61,40.783915,-73.93494,198
100387,Staten Island,Shared room,22,26,243,40.884255,-73.992197,200
100388,Queens,Shared room,9,173,191,40.655327,-74.168012,160
100389,Bronx,Shared room,29,164,118,40.684158,-73.787206,184
100390,Manhattan,Private room,26,136,358,40.870296,-74.172473,108
100391,Brooklyn,Entire home/apt,17,65,46,40.797259,-74.033927,258
100392,Bronx,Shared room,6,65,351,40.643063,-73.821744,338
100393,Brooklyn,Private room,20,109,263,40.575611,-73.997253,333
100394,Bronx,Shared room,13,174,361,40.661333,-74.143774,156
100395,Brooklyn,Shared room,30,112,139,40.894439,-74.153036,61
100396,Manhattan,Private room,10,142,182,40.57955,-73.957879,146
100397,Brooklyn,Private room,4,109,215,40.524314,-74.245289,196
100398,Queens,Entire home/apt,15,117,176,40.823823,-73.860371,177
100399,Brooklyn,Shared room,2,96,184,40.833987,-74.200731,242
100400,Brooklyn,Entire home/apt,15,126,233,40.839408,-73.856159,97
100401,Bronx,Entire home/apt,20,196,23,40.677099,-73.74082,307
100402,Brooklyn,Private room,19,102,179,40.783718,-73.889877,155
100403,Queens,Entire home/apt,25,87,131,40.763619,-73.953716,116
100404,Bronx,Shared room,5,194,297,40.73978,-73.986412,141
100405,Bronx,Shared room,20,142,180,40.808177,-73.788537,71
100406,Brooklyn,Shared room,28,157,101,40.666311,-74.000134,113
100407,Bronx,Entire home/apt,9,185,94,40.824553,-73.884471,211
100408,Queens,Private room,23,49,219,40.623785,-74.131053,224
100409,Queens,Shared room,30,124,12,40.562466,-74.181444,196
100410,Bronx,Entire home/apt,19,179,88,40.605331,-74.189084,68
100411,Queens,Entire home/apt,12,32,29,40.669283,-73.715531,131
100412,Bronx,Shared room,4,146,12,40.783316,-74.213296,228
100413,Brooklyn,Shared room,21,4,25,40.518887,-73.898393,178
100414,Staten Island,Shared room,29,39,24,40.593715,-73.743085,212
100415,Brooklyn,Shared room,30,128,294,40.627334,-74.045604,298
100416,Queens,Private room,13,131,278,40.766568,-73.829155,292
100417,Queens,Shared room,8,128,112,40.512538,-73.942285,58
